vino,vonj
101563,  tobacco
101563,  tar and   flower
101567,violet
101567,  rose
101567,  truffle
101567,  earth
101567,  coffee and   leather
101568,apple
101568,  pear
101568,  kiwi
101568,  citrus
101568,  stone
101568,  grapefruit and   melon
101574,apple
101574,  pear
101574,  peach
101574,  apricot
101574,  lemon
101574,  lime
101574,  orange
101574,  pineapple
101574,  kiwi
101574,  butter
101574,  cream and   vanilla
101577,red cherry
101577,  raspberry
101577,  licorice
101577,  tobacco
101577,  sweet spice and   mineral
101578,currant
101578,  blackberry
101578,  cherry
101578,  cedar
101578,  cigar box
101578,  violet
101578,  rose
101578,  truffle
101578,  earth
101578,  coffee
101578,  leather
101578,  spice box and   dark fruit
101597,petrol
101597,  flint
101597,  rose petal
101597,  violet
101597,  orange peel
101597,  apple
101597,  pear and   peach
101612,floral
101612,  grass and   almond
101615,violet
101615,  rose petal
101615,  oak
101615,  smoke and   mushroom
101624,apple
101624,  pear
101624,  peach
101624,  apricot
101624,  lemon
101624,  lime
101624,  orange
101624,  pineapple
101624,  kiwi
101624,  butter
101624,  cream and   vanilla
101637,apple
101637,  pear
101637,  peach
101637,  apricot
101637,  lemon
101637,  lime
101637,  orange
101637,  pineapple
101637,  kiwi
101637,  butter
101637,  cream and   vanilla
101655,apple
101655,  pear
101655,  kiwi
101655,  citrus
101655,  stone
101655,  grapefruit and   melon
101663,spice
101663,  earth
101663,  currant and   cherry
101723,vanilla
101723,  toast
101723,  smoke
101723,  tobacco
101723,  dark fruit
101723,  red fruit
101723,  thyme
101723,  clove
101723,  cinnamon
101723,  black pepper
101723,  mint
101723,  spice box
101723,  cedar
101723,  game
101723,  tar and   dust
101726,berry
101726,  cherry
101726,  plum
101726,  earth
101726,  leather
101726,  herb
101726,  currant
101726,  blackberry
101726,  cherry
101726,  cedar and   cigar box
101762,barnyard
101762,  cherry
101762,  plum
101762,  game and   tomato
101763,cinnamon
101763,  cigar box
101763,  pomegranate
101763,  mushroom
101763,  gamey and   plum
101774,apple
101774,  pear
101774,  peach
101774,  apricot
101774,  lemon
101774,  lime
101774,  orange
101774,  pineapple
101774,  kiwi
101774,  butter
101774,  cream and   vanilla
101775,apple
101775,  pear
101775,  peach
101775,  apricot
101775,  lemon
101775,  lime
101775,  orange
101775,  pineapple
101775,  kiwi
101775,  butter
101775,  cream and   vanilla
101782,spice box
101782,  cedar and   dark fruit
101791,blackberry
101791,  cassis
101791,  plum and   cinnamon 
101792,berry
101792,  cherry
101792,  plum
101792,  earth
101792,  leather
101792,  herb
101792,  red fruit
101792,   tar
101792,   smoke
101792,   garrigue
101792,   cranberry
101792,   red currant
101792,  tobacco
101792,  berry and   flower
101794,barnyard
101794,  cherry
101794,  plum
101794,  game and   tomato
101800,floral
101800,  butter
101800,  cream
101800,  almond and   citrus
101801,violet
101801,  rose
101801,  truffle
101801,  earth
101801,  coffee and   leather
101835,asparagus
101835,  green pepper
101835,  red fruit
101835,  currant
101835,  blackberry
101835,  cherry
101835,  cedar and   cigar box
101839,apple
101839,  pear
101839,  kiwi
101839,  citrus
101839,  stone
101839,  grapefruit and   melon
101875,tobacco
101875,  broccoli
101875,  berry and   flower
101884,currant
101884,  blackberry
101884,  cherry
101884,  cedar and   cigar box
101924,truffle
101924,  cherry
101924,  plum
101924,  leather and   vanilla
101925,apple
101925,  pear
101925,  peach
101925,  apricot
101925,  lemon
101925,  lime
101925,  orange
101925,  pineapple
101925,  kiwi
101925,  butter
101925,  cream and   vanilla
101934,asparagus
101934,  green pepper and   red fruit
101943,truffle
101943,  cherry
101943,  plum
101943,  leather and   vanilla
101947,spice box
101947,  cedar
101947,  dark fruit
101947,  vanilla
101947,  toast
101947,  smoke
101947,  tobacco and   red fruit
101953,floral
101953,  grass and   almond
101971,barnyard
101971,  cherry
101971,  plum
101971,  game and   tomato
101973,mineral
101973,  floral
101973,  yellow fruit and   mint
101987,apple
101987,  pear
101987,  kiwi
101987,  citrus
101987,  stone
101987,  grapefruit
101987,  melon
101987,  apricot
101987,  quince
101987,  honey
101987,  pineapple
101987,  cream
101987,  orange
101987,   floral
101987,   peach and    honey 
102004,orange blossom
102004,  acacia
102004,  violet
102004,  anise
102004,  mint
102004,  nut
102004,  citrus and   golden apple
102008,spice
102008,  earth
102008,  currant
102008,  cherry
102008,  blackberry
102008,  cedar and   cigar box
102020,vanilla
102020,  toast
102020,  smoke
102020,  tobacco
102020,  dark fruit
102020,  red fruit
102020,  spice box
102020,  cedar
102020,  game
102020,  tar
102020,  dust
102020,  plum
102020,  violet
102020,  almond
102020,  dark berry and   spice
102022,tobacco
102022,  broccoli
102022,  berry and   flower
102032,currant
102032,  blackberry
102032,  cherry
102032,  cedar
102032,  cigar box
102032,  spice and   earth
102141,spice box
102141,  cedar and   dark fruit
102145,violet
102145,  rose petal
102145,  oak
102145,  smoke and   mushroom
102228,vanilla
102228,  toast
102228,  smoke
102228,  tobacco
102228,  dark fruit
102228,  red fruit
102228,  spice box and   cedar
102239,asparagus
102239,  green pepper
102239,  red fruit
102239,  spice box
102239,  cedar and   dark fruit
102241,currant
102241,  blackberry
102241,  cherry
102241,  cedar and   cigar box
102304,barnyard
102304,  cherry
102304,  plum
102304,  game
102304,  tomato
102304,  apple
102304,  pear
102304,  peach
102304,  apricot
102304,  lemon
102304,  lime
102304,  orange
102304,  pineapple
102304,  kiwi
102304,  butter
102304,  cream and   vanilla
102306,exotic spice
102306,  cinnamon
102306,  sour cherry and   violet
102315,barnyard
102315,  cherry
102315,  plum
102315,  game
102315,  tomato
102315,  apple
102315,  pear
102315,  peach
102315,  apricot
102315,  lemon
102315,  lime
102315,  orange
102315,  pineapple
102315,  kiwi
102315,  butter
102315,  cream and   vanilla
102317,currant
102317,  blackberry
102317,  cherry
102317,  cedar and   cigar box
102340,apple
102340,  pear
102340,  kiwi
102340,  citrus
102340,  stone
102340,  grapefruit and   melon
102346,petrol
102346,  flint
102346,  rose petal
102346,  violet
102346,  orange peel
102346,  apple
102346,  pear and   peach
102352,petrol
102352,  flint
102352,  rose petal
102352,  violet
102352,  orange peel
102352,  apple
102352,  pear and   peach
102354,asparagus
102354,  green pepper and   red fruit
102367,currant
102367,  blackberry
102367,  cherry
102367,  cedar
