vino,okus
101568,  gooseberry
101568,  grapefruit
101568,  lime
101568,  melon
101568,  citrus
101568,  mineral and   flint
101574,apple
101574,  pear
101574,  peach
101574,  apricot
101574,  lemon
101574,  lime
101574,  orange
101574,  pineapple
101574,  kiwi
101574,  butter
101574,  cream and   vanilla
101577,red cherry
101577,  raspberry
101577,  licorice
101577,  tobacco
101577,  sweet spice and   mineral
101578,currant
101578,  blackberry
101578,  cherry
101578,  bell pepper
101578,  olive
101578,  asparagus
101578,  spice
101578,  ginger
101578,  oak
101578,  vanilla
101578,  black cherry
101578,  plum
101578,  smoke
101578,  toast
101578,  tar
101578,  blueberry and   strawberry
101597,apple
101597,  pear
101597,  peach
101597,  apricot and   honey
101612,apple
101612,  peach and   citrus
101615,cherry
101615,  strawberry and   raspberry
101624,apple
101624,  pear
101624,  peach
101624,  apricot
101624,  lemon
101624,  lime
101624,  orange
101624,  pineapple
101624,  kiwi
101624,  butter
101624,  cream and   vanilla
101637,apple
101637,  pear
101637,  peach
101637,  apricot
101637,  lemon
101637,  lime
101637,  orange
101637,  pineapple
101637,  kiwi
101637,  butter
101637,  cream and   vanilla
101655,grass
101655,  gooseberry
101655,  grapefruit
101655,  lime
101655,  melon
101655,  citrus
101655,  mineral and   flint
101663,pepper
101663,  earth
101663,  green
101663,  plum
101663,  mocha and   currant
101723,black currant
101723,  blackberry
101723,  dust
101723,  leather
101723,  blackberry
101723,  violet
101723,  oak
101723,  smoke
101723,  toast
101723,  vanilla
101723,  currant
101723,  blueberry
101723,  strawberry and   musk
101726,berry
101726,  cherry
101726,  plum
101726,  earth
101726,  leather
101726,  herb
101726,  currant
101726,  blackberry
101726,  cherry
101726,  bell pepper
101726,  olive
101726,  asparagus
101726,  spice
101726,  ginger
101726,  oak and   vanilla
101762,ripe cherry
101762,  plum
101762,  strawberry
101762,  raspberry and   mushroom
101763,cinnamon
101763,  cigar box
101763,  pomegranate
101763,  mushroom
101763,  gamey and   plum
101774,apple
101774,  pear
101774,  peach
101774,  apricot
101774,  lemon
101774,  lime
101774,  orange
101774,  pineapple
101774,  kiwi
101774,  butter
101774,  cream and   vanilla
101775,apple
101775,  pear
101775,  peach
101775,  apricot
101775,  lemon
101775,  lime
101775,  orange
101775,  pineapple
101775,  kiwi
101775,  butter
101775,  cream and   vanilla
101782,currant
101782,  blueberry
101782,  blackberry and   strawberry
101791,blackberry
101791,  cassis
101791,  plum and   cinnamon 
101792,berry
101792,  cherry
101792,  plum
101792,  earth
101792,  leather
101792,  herb
101792,  blackberry
101792,   red licorice
101792,   tar
101792,   rosewater
101792,  tobacco
101792,  raspberry
101792,  cassis
101792,  violet and   pepper
101794,ripe cherry
101794,  plum
101794,  strawberry
101794,  raspberry and   mushroom
101800,lemon
101800,  apple and   pear
101801,currant
101801,  black cherry
101801,  plum
101801,  bell pepper
101801,  olive
101801,  oak
101801,  smoke
101801,  toast and   tar
101835,red fruit
101835,  strawberry
101835,  raspberry
101835,  currant
101835,  blackberry
101835,  cherry
101835,  bell pepper
101835,  olive
101835,  asparagus
101835,  spice
101835,  ginger
101835,  oak and   vanilla
101839,grass
101839,  gooseberry
101839,  grapefruit
101839,  lime
101839,  melon
101839,  citrus
101839,  mineral and   flint
101875,tobacco
101875,  raspberry
101875,  cassis
101875,  violet
101875,  pepper and   green bean
101884,currant
101884,  blackberry
101884,  cherry
101884,  bell pepper
101884,  olive
101884,  asparagus
101884,  spice
101884,  ginger
101884,  oak and   vanilla
101924,blackberry
101924,  cherry
101924,  smoke and   earth
101925,apple
101925,  pear
101925,  peach
101925,  apricot
101925,  lemon
101925,  lime
101925,  orange
101925,  pineapple
101925,  kiwi
101925,  butter
101925,  cream and   vanilla
101934,red fruit
101934,  strawberry and   raspberry
101943,blackberry
101943,  cherry
101943,  smoke and   earth
101947,currant
101947,  blueberry
101947,  blackberry
101947,  strawberry
101947,  black currant
101947,  dust and   leather
101953,apple
101953,  peach and   citrus
101971,ripe cherry
101971,  plum
101971,  strawberry
101971,  raspberry and   mushroom
101973,floral
101973,  apple
101973,  pear
101973,  white flower and   honey
101987,grass
101987,  gooseberry
101987,  grapefruit
101987,  lime
101987,  melon
101987,  citrus
101987,  mineral
101987,  flint
101987,  fig
101987,  lemon
101987,  pear
101987,  saffron
101987,  bell pepper
101987,  orange
101987,   floral
101987,   peach and    honey 
102004,honey
102004,  orange
