vino,vonj
102397,  smoke
102397,  mushroom
102397,  rose
102397,  truffle
102397,  earth
102397,  coffee
102397,  leather
102397,  spice box
102397,  cedar and   dark fruit
102455,apple
102455,  pear
102455,  peach
102455,  apricot
102455,  lemon
102455,  lime
102455,  orange
102455,  pineapple
102455,  kiwi
102455,  butter
102455,  cream and   vanilla
102458,barnyard
102458,  cherry
102458,  plum
102458,  game and   tomato
102478,melon
102478,  citrus and   spice
102482,apple
102482,  pear
102482,  peach
102482,  apricot
102482,  lemon
102482,  lime
102482,  orange
102482,  pineapple
102482,  kiwi
102482,  butter
102482,  cream and   vanilla
102494,violet
102494,  rose
102494,  truffle
102494,  earth
102494,  coffee and   leather
102546,apple
102546,  pear
102546,  peach
102546,  apricot
102546,  lemon
102546,  lime
102546,  orange
102546,  pineapple
102546,  kiwi
102546,  butter
102546,  cream and   vanilla
102547,apple
102547,  pear
102547,  peach
102547,  apricot
102547,  lemon
102547,  lime
102547,  orange
102547,  pineapple
102547,  kiwi
102547,  butter
102547,  cream and   vanilla
102565,petrol
102565,  flint
102565,  rose petal
102565,  violet
102565,  orange peel
102565,  apple
102565,  pear and   peach
102574,violet
102574,  rose petal
102574,  oak
102574,  smoke and   mushroom
102579,violet
102579,  rose petal
102579,  oak
102579,  smoke and   mushroom
102580,violet
102580,  rose petal
102580,  oak
102580,  smoke and   mushroom
102604,apple
102604,  pear
102604,  peach
102604,  apricot
102604,  lemon
102604,  lime
102604,  orange
102604,  pineapple
102604,  kiwi
102604,  butter
102604,  cream and   vanilla
102612,barnyard
102612,  cherry
102612,  plum
102612,  game and   tomato
102687,currant
102687,  blackberry
102687,  cherry
102687,  cedar and   cigar box
102703,apple
102703,  pear
102703,  peach
102703,  apricot
102703,  lemon
102703,  lime
102703,  orange
102703,  pineapple
102703,  kiwi
102703,  butter
102703,  cream and   vanilla
102705,berry
102705,  cherry
102705,  plum
102705,  earth
102705,  leather and   herb
102708,asparagus
102708,  green pepper and   red fruit
102723,apple
102723,  pear
102723,  peach
102723,  apricot
102723,  lemon
102723,  lime
102723,  orange
102723,  pineapple
102723,  kiwi
102723,  butter
102723,  cream and   vanilla
102725,asparagus
102725,  green pepper and   red fruit
102797,violet
102797,  rose
102797,  truffle
102797,  earth
102797,  coffee
102797,  leather
102797,  currant
102797,  blackberry
102797,  cherry
102797,  cedar
102797,  cigar box
102797,  mocha
102797,  vanilla and   tobacco
102815,sour cherry
102815,  black currant
102815,  herb
102815,  sage and   cocoa
102820,apple
102820,  pear
102820,  peach
102820,  apricot
102820,  lemon
102820,  lime
102820,  orange
102820,  pineapple
102820,  kiwi
102820,  butter
102820,  cream and   vanilla
102822,apple
102822,  pear
102822,  peach
102822,  apricot
102822,  lemon
102822,  lime
102822,  orange
102822,  pineapple
102822,  kiwi
102822,  butter
102822,  cream and   vanilla
102842,jasmine
102842,  lemon peel
102842,  fresh peach and   ripe melon
102843,floral note
102843,  mineral
102843,  apricot
102843,  peach
102843,  acacia
102843,  jasmine
102843,  lemon peel
102843,  fresh peach
102843,  ripe melon
102843,  almond
102843,  citrus
102843,  herb and   perfume
102864,violet
102864,  rose petal
102864,  oak
102864,  smoke and   mushroom
102868,violet
102868,  rose
102868,  truffle
102868,  earth
102868,  coffee
102868,  leather
102868,  spice box
102868,  cedar
102868,  dark fruit
102868,  spice
102868,  currant
102868,  blackberry
102868,  boysenberry
102868,  blueberry
102868,  jam
102868,  cherry and   cigar box
102873,cocoa
102873,  honey
102873,  vanilla
102873,  butterscotch
102873,  dark fruit
102873,  spice
102873,  earth
102873,  perfume
102873,  floral
102873,  violet
102873,  ripe cherry
102873,  peppercorn
102873,  cinnamon
102873,  plum
102873,  red fruit
102873,  raisin
102873,  chocolate and   blackberry
102890,currant
102890,  blackberry
102890,  cherry
102890,  cedar and   cigar box
102929,apple
102929,  pear
102929,  peach
102929,  apricot
102929,  lemon
102929,  lime
102929,  orange
102929,  pineapple
102929,  kiwi
102929,  butter
102929,  cream and   vanilla
102932,vanilla
102932,  toast
102932,  smoke
102932,  tobacco
102932,  dark fruit and   red fruit
102933,barnyard
102933,  cherry
102933,  plum
102933,  game
102933,  tomato
102933,  apple
102933,  pear
102933,  peach
102933,  apricot
102933,  lemon
102933,  lime
102933,  orange
102933,  pineapple
102933,  kiwi
102933,  butter
102933,  cream and   vanilla
102934,berry
102934,  cherry
102934,  plum
102934,  earth
102934,  leather
102934,  herb
102934,  vanilla
102934,  toast
102934,  smoke
102934,  tobacco
102934,  dark fruit and   red fruit
102994,barnyard
102994,  cherry
102994,  plum
102994,  game and   tomato
103010,apple
103010,  pear
103010,  peach
103010,  apricot
103010,  lemon
103010,  lime
103010,  orange
103010,  pineapple
103010,  kiwi
103010,  butter
103010,  cream and   vanilla
103026,spice
103026,  earth
103026,  currant and   cherry
103052,violet
103052,  rose
103052,  truffle
103052,  earth
