vino,okus
102604,  lemon
102604,  lime
102604,  orange
102604,  pineapple
102604,  kiwi
102604,  butter
102604,  cream and   vanilla
102612,ripe cherry
102612,  plum
102612,  strawberry
102612,  raspberry and   mushroom
102687,currant
102687,  blackberry
102687,  cherry
102687,  bell pepper
102687,  olive
102687,  asparagus
102687,  spice
102687,  ginger
102687,  oak and   vanilla
102703,apple
102703,  pear
102703,  peach
102703,  apricot
102703,  lemon
102703,  lime
102703,  orange
102703,  pineapple
102703,  kiwi
102703,  butter
102703,  cream and   vanilla
102705,berry
102705,  cherry
102705,  plum
102705,  earth
102705,  leather and   herb
102708,red fruit
102708,  strawberry and   raspberry
102723,apple
102723,  pear
102723,  peach
102723,  apricot
102723,  lemon
102723,  lime
102723,  orange
102723,  pineapple
102723,  kiwi
102723,  butter
102723,  cream and   vanilla
102725,red fruit
102725,  strawberry and   raspberry
102797,currant
102797,  black cherry
102797,  plum
102797,  bell pepper
102797,  olive
102797,  oak
102797,  smoke
102797,  toast
102797,  tar
102797,  blackberry
102797,  cherry
102797,  asparagus
102797,  spice
102797,  ginger
102797,  vanilla
102797,  lead
102797,  cedar
102797,  molasses and   dark fruit
102815,sour cherry
102815,  black currant
102815,  herb
102815,  sage and   coffee
102820,apple
102820,  pear
102820,  peach
102820,  apricot
102820,  lemon
102820,  lime
102820,  orange
102820,  pineapple
102820,  kiwi
102820,  butter
102820,  cream and   vanilla
102822,apple
102822,  pear
102822,  peach
102822,  apricot
102822,  lemon
102822,  lime
102822,  orange
102822,  pineapple
102822,  kiwi
102822,  butter
102822,  cream and   vanilla
102842,fresh peach
102842,  ripe melon and   citrus
102843,green apple
102843,  lime
102843,  citrus
102843,  pear
102843,  acid
102843,  fresh peach
102843,  ripe melon
102843,  almond and   herb
102864,cherry
102864,  strawberry and   raspberry
102868,currant
102868,  black cherry
102868,  plum
102868,  bell pepper
102868,  olive
102868,  oak
102868,  smoke
102868,  toast
102868,  tar
102868,  blueberry
102868,  blackberry
102868,  strawberry
102868,  jam
102868,  dark berry fruit
102868,  high tannin
102868,  black pepper
102868,  cherry
102868,  asparagus
102868,  spice
102868,  ginger and   vanilla
102873,cocoa
102873,  honey
102873,  vanilla
102873,  butterscotch
102873,  dark fruit
102873,  spice
102873,  earth
102873,  perfume
102873,  floral
102873,  violet
102873,  ripe cherry
102873,  peppercorn
102873,  cinnamon
102873,  plum
102873,  red fruit
102873,  raisin
102873,  high acid
102873,  chocolate and   blackberry
102890,currant
102890,  blackberry
102890,  cherry
102890,  bell pepper
102890,  olive
102890,  asparagus
102890,  spice
102890,  ginger
102890,  oak and   vanilla
102929,apple
102929,  pear
102929,  peach
102929,  apricot
102929,  lemon
102929,  lime
102929,  orange
102929,  pineapple
102929,  kiwi
102929,  butter
102929,  cream and   vanilla
102932,black currant
102932,  blackberry
102932,  dust and   leather
102933,ripe cherry
102933,  plum
102933,  strawberry
102933,  raspberry
102933,  mushroom
102933,  apple
102933,  pear
102933,  peach
102933,  apricot
102933,  lemon
102933,  lime
102933,  orange
102933,  pineapple
102933,  kiwi
102933,  butter
102933,  cream and   vanilla
102934,berry
102934,  cherry
102934,  plum
102934,  earth
102934,  leather
102934,  herb
102934,  black currant
102934,  blackberry
102934,  dust and   leather
102994,ripe cherry
102994,  plum
102994,  strawberry
102994,  raspberry and   mushroom
103010,apple
103010,  pear
103010,  peach
103010,  apricot
103010,  lemon
103010,  lime
103010,  orange
103010,  pineapple
103010,  kiwi
103010,  butter
103010,  cream and   vanilla
103026,pepper
103026,  earth
103026,  green
103026,  plum
103026,  mocha and   currant
103052,currant
103052,  black cherry
103052,  plum
103052,  bell pepper
103052,  olive
103052,  oak
103052,  smoke
103052,  toast and   tar
103089,tobacco
103089,  raspberry
103089,  cassis
103089,  violet
103089,  pepper
103089,  green bean
103089,  currant
103089,  black cherry
103089,  plum
103089,  bell pepper
103089,  olive
103089,  oak
103089,  smoke
103089,  toast and   tar
103090,apple
103090,  pear
103090,  peach
103090,  apricot and   honey
103091,apple
103091,  pear
103091,  peach
103091,  apricot and   honey
103093,red fruit
103093,  strawberry
103093,  raspberry
103093,  currant
103093,  blackberry
103093,  cherry
103093,  bell pepper
103093,  olive
103093,  asparagus
103093,  spice
103093,  ginger
103093,  oak and   vanilla
103112,pear
103112,  spice
103112,  apple
103112,  lemon
103112,  lychee and   mango
103114,lemon
103114,  apple and   pear
103115,apple
103115,  pear
103115,  peach
103115,  apricot and   honey
103117,apple
103117,  pear
103117,  peach
103117,  apricot and   honey
103165,lemon
103165,  apple
103165,  pear
103165,  citrus
103165,  apricot and   acidic
103168,currant
103168,  blackberry
103168,  cherry
103168,  bell pepper
103168,  olive
103168,  asparagus
103168,  spice
103168,  ginger
103168,  oak and   vanilla
103174,currant
103174,  black cherry
103174,  plum
103174,  bell pepper
103174,  olive
103174,  oak
103174,  smoke
103174,  toast
103174,  tar
103174,  tobacco
103174,  raspberry
103174,  cassis
103174,  violet
103174,  pepper and   green bean
103175,currant
103175,  black cherry
103175,  plum
103175,  bell pepper
103175,  olive
103175,  oak
103175,  smoke
103175,  toast and   tar
103182,currant
103182,  blackberry
103182,  cherry
103182,  bell pepper
103182,  olive
103182,  asparagus
103182,  spice
103182,  ginger
103182,  oak
103182,  vanilla
103182,  black cherry
103182,  plum
103182,  smoke
103182,  toast
103182,  tar
103182,  blueberry and   strawberry
103194,currant
103194,  black cherry
103194,  plum
103194,  bell pepper
103194,  olive
103194,  oak
103194,  smoke
103194,  toast
103194,  tar
103194,  tobacco
103194,  raspberry
103194,  cassis
103194,  violet
103194,  pepper
103194,  green bean
103194,  blackberry
103194,  cherry
103194,  asparagus
103194,  spice
103194,  ginger and   vanilla
103196,apple
103196,  honey
103196,  peach
103196,  apricot
103196,  lemon
103196,  lime
103196,  apricot
103196,  orange
103196,  citrus fruit
103196,  acid
103196,  grass
103196,  gooseberry
103196,  grapefruit
103196,  lime
103196,  melon
103196,  citrus
103196,  mineral
103196,  flint
103196,  pear
103196,  lemon
103196,  orange
103196,  pineapple
103196,  kiwi
103196,  butter
103196,  cream and   vanilla
103198,black currant
103198,  blackberry
103198,  dust
103198,  leather
103198,  currant
103198,  blueberry
103198,  strawberry
103198,  blackberry
103198,  violet
103198,  oak
103198,  smoke
103198,  toast and   vanilla
103298,floral
103298,  plum
103298,  black cherry and   tar
103319,currant
103319,  blueberry
103319,  blackberry and   strawberry
103331,black currant
103331,  blackberry
103331,  dust
103331,  leather
103331,  strawberry
103331,  vanilla
103331,  musk
103331,  currant and   blueberry
103339,black currant
103339,  blackberry
103339,  dust
103339,  leather
103339,  currant
103339,  black cherry
103339,  plum
103339,  bell pepper
103339,  olive
103339,  oak
103339,  smoke
103339,  toast
103339,  tar
103339,  blueberry and   strawberry
103352,apple
103352,  pear
103352,  peach
103352,  apricot
103352,  lemon
103352,  lime
103352,  orange
103352,  pineapple
103352,  kiwi
103352,  butter
103352,  cream and   vanilla
103372,apple
103372,  pear
103372,  peach
103372,  apricot
103372,  lemon
103372,  lime
103372,  orange
103372,  pineapple
103372,  kiwi
103372,  butter
103372,  cream and   vanilla
103374,cherry
103374,  strawberry and   raspberry
103378,ripe cherry
103378,  plum
103378,  strawberry
103378,  raspberry and   mushroom
103381,ripe cherry
103381,  plum
103381,  strawberry
103381,  raspberry and   mushroom
103388,apple
103388,  pear
103388,  peach
103388,  apricot
103388,  lemon
103388,  lime
103388,  orange
103388,  pineapple
103388,  kiwi
103388,  butter
103388,  cream and   vanilla
103397,currant
103397,  black cherry
103397,  plum
103397,  bell pepper
103397,  olive
103397,  oak
103397,  smoke
103397,  toast
103397,  tar
103397,  blackberry
103397,  cherry
103397,  asparagus
103397,  spice
103397,  ginger and   vanilla
103428,black currant
103428,  blackberry
103428,  dust
103428,  leather
103428,  cherry
103428,  strawberry
103428,  raspberry
103428,  licorice and   anise
103436,blackberry
103436,  violet
